Target Index,TimeOfDay,MaxSpeed,Traffic Amount,Keep Lane,Weather,Ultrasound,Damage,Distance,Label(Ultra),Label(Damage),Label(Distance)
0,0.99,26,8,1,6,2.31298852,-25670.50195,-568.9812929,0,0,1
0,0.99,26,8,1,6,9999.900391,-16365.98096,-667.8105397,1,0,1
0,0.99,26,8,1,6,9999.900391,-16296.85107,-559.5940076,1,0,1
0,0.99,26,8,1,6,9999.900391,-17685.29883,-547.5052059,1,0,1
1,0.03,22,10,0,2,3.799573421,-14077.8418,-620.2811564,0,0,1
1,0.03,22,10,0,2,9999.900391,-8724.648438,-536.2053016,1,1,1
1,0.03,22,10,0,2,9999.900391,-12945.16211,-668.2176482,1,0,1
1,0.03,22,10,0,2,9999.900391,-0.071216762,-509.9745643,1,1,1
1,0.03,22,10,0,2,9999.900391,-9703.417969,-611.7069032,1,1,1
1,0.03,22,10,0,2,9999.900391,-6.696775436,-507.5130587,1,1,1
1,0.03,22,10,0,2,3.6672194,-17098.32617,-597.8146789,0,0,1
1,0.03,22,10,0,2,9999.900391,-0.071811005,-511.5421243,1,1,1
1,0.03,22,10,0,2,9999.900391,-795.3092957,-512.2736663,1,1,1
1,0.03,22,10,0,2,9999.900391,-12719.55762,-634.9679957,1,0,1
1,0.08,43,9,0,6,9999.900391,-17164.92285,-510.7414473,1,0,1
1,0.08,43,9,0,6,9999.900391,-17055.7666,-546.4027384,1,0,1
1,0.08,43,9,0,6,3.154821396,-17797.49707,-688.9206416,0,0,1
1,0.08,43,9,0,6,4.381708622,-6908.529053,-771.0076657,0,1,0
1,0.08,43,9,0,6,9999.900391,-15942.31299,-583.3418634,1,0,1
1,0.08,43,9,0,6,1.36575377,-14816.23828,-696.79391,0,0,1
1,0.08,43,9,0,6,9999.900391,-13664.94727,-784.6703262,1,0,0
1,0.08,43,9,0,6,9999.900391,-14065.66309,-594.0480941,1,0,1
1,0.08,43,9,0,6,3.753657818,-18566.25488,-583.9055701,0,0,1
1,0.08,43,9,0,6,4.236691475,-18183.77051,-551.0164014,0,0,1
1,0.17,26,8,0,0,9999.900391,-5.669357777,-493.6547423,1,1,1
1,0.17,26,8,0,0,4.411398888,-13488.29053,-690.7584946,0,0,1
1,0.17,26,8,0,0,9999.900391,-5.89715147,-494.3471289,1,1,1
1,0.17,26,8,0,0,9999.900391,-14722.23926,-594.0395686,1,0,1
1,0.17,26,8,0,0,9999.900391,-20079.17969,-598.996858,1,0,1
1,0.17,26,8,0,0,9999.900391,-1786.709473,-493.599545,1,1,1
1,0.17,26,8,0,0,9999.900391,-90.02857971,-492.4341538,1,1,1
1,0.17,26,8,0,0,2.53802681,-26669.41602,-567.8070586,0,0,1
1,0.17,26,8,0,0,9999.900391,-74.28296661,-491.4709458,1,1,1
1,0.17,26,8,0,0,9999.900391,-5.911851883,-492.5193691,1,1,1
1,0.17,30,2,0,5,9999.900391,-2200.186691,-492.3010086,1,1,1
1,0.17,30,2,0,5,9999.900391,-2835.0979,-525.0750591,1,1,1
1,0.17,30,2,0,5,9999.900391,-2200.57402,-492.8416865,1,1,1
1,0.17,30,2,0,5,4.007661343,-19083.86816,-555.1346291,0,0,1
1,0.17,30,2,0,5,9999.900391,-2207.851486,-493.4377531,1,1,1
1,0.17,30,2,0,5,9999.900391,-2205.317841,-492.4270719,1,1,1
1,0.17,30,2,0,5,9999.900391,-20589.34277,-545.8649263,1,0,1
1,0.17,30,2,0,5,9999.900391,-18549.32617,-520.1064648,1,0,1
